[3/16/2025 1:30:14 AM] [INFO] received Windows console close event; shutting log-core down
[3/16/2025 1:30:24 AM] [INFO] received Windows console close event; shutting log-core down
[3/16/2025 1:32:26 AM] [INFO] received Windows console close event; shutting log-core down
[3/16/2025 1:32:33 AM] [INFO] received Windows console close event; shutting log-core down
[3/16/2025 1:32:35 AM] [INFO] received Windows console close event; shutting log-core down
[3/16/2025 1:33:43 AM] [INFO] received Windows console close event; shutting log-core down
[3/16/2025 1:34:09 AM] [INFO] received Windows console close event; shutting log-core down
[3/16/2025 1:34:14 AM] [INFO] received Windows console close event; shutting log-core down
[3/16/2025 1:34:28 AM] [INFO] received Windows console close event; shutting log-core down
[3/16/2025 1:40:16 AM] [INFO] received Windows console close event; shutting log-core down
[3/16/2025 1:46:21 AM] [INFO] received Windows console close event; shutting log-core down
[3/16/2025 1:46:32 AM] [INFO] received Windows console close event; shutting log-core down
[3/16/2025 1:47:42 AM] [INFO] received Windows console close event; shutting log-core down
[3/16/2025 1:50:00 AM] [INFO] received Windows console close event; shutting log-core down
[3/16/2025 1:50:18 AM] [INFO] received Windows console close event; shutting log-core down
[3/16/2025 1:53:32 AM] [INFO] received Windows console close event; shutting log-core down
[3/16/2025 1:56:17 AM] [INFO] received Windows console close event; shutting log-core down
[3/16/2025 2:00:15 AM] [INFO] received Windows console close event; shutting log-core down
[3/16/2025 2:20:25 AM] [INFO] received Windows console close event; shutting log-core down
[3/16/2025 2:21:34 AM] [INFO] received Windows console close event; shutting log-core down
[3/16/2025 2:23:59 AM] [INFO] received Windows console close event; shutting log-core down
[3/16/2025 2:25:07 AM] [INFO] received Windows console close event; shutting log-core down
[3/16/2025 2:27:52 AM] [INFO] received Windows console close event; shutting log-core down
[3/16/2025 2:28:15 AM] [INFO] received Windows console close event; shutting log-core down
[3/16/2025 2:28:43 AM] [INFO] received Windows console close event; shutting log-core down
[3/16/2025 2:29:38 AM] [INFO] received Windows console close event; shutting log-core down
[3/16/2025 2:30:49 AM] [INFO] received Windows console close event; shutting log-core down
[3/16/2025 2:30:59 AM] [INFO] received Windows console close event; shutting log-core down
[3/16/2025 2:31:54 AM] [INFO] received Windows console close event; shutting log-core down
[3/16/2025 2:35:59 AM] [INFO] received Windows console close event; shutting log-core down
[3/16/2025 2:38:39 AM] [INFO] received Windows console close event; shutting log-core down
[3/16/2025 2:49:40 AM] [INFO] received Windows console close event; shutting log-core down
[3/16/2025 2:50:14 AM] [INFO] received Windows console close event; shutting log-core down
[3/16/2025 2:50:59 AM] [INFO] received Windows console close event; shutting log-core down
[3/16/2025 2:53:00 AM] [INFO] received Windows console close event; shutting log-core down
[3/16/2025 2:53:40 AM] [INFO] received Windows console close event; shutting log-core down
[3/16/2025 2:55:32 AM] [INFO] received Windows console close event; shutting log-core down
[3/16/2025 2:56:54 AM] [INFO] received Windows console close event; shutting log-core down
[3/16/2025 3:00:41 AM] [INFO] received Windows console close event; shutting log-core down
[3/16/2025 3:00:41 AM] [INFO] received Windows console close event; shutting log-core down
